ID,소속부서,직군,AI사용빈도,주사용도구,가장큰장벽,희망교육분야,월평균활용(시간)
U001,교무팀,교원,주 2-3회,ChatGPT,시간이 없음,공문·기안문 작성,1
U002,학사지원팀,행정직,거의 안 함,ChatGPT,사용법을 모름,민원 응대,12
U003,재무팀,교원,월 1-2회,Gemini,시간이 없음,바이브코딩(도구 제작),1
U004,입학처,조교,월 1-2회,없음,시간이 없음,공문·기안문 작성,3
U005,대외협력팀,교원,월 1-2회,ChatGPT,개인정보·보안 우려,바이브코딩(도구 제작),2
U006,산학협력단,행정직,월 1-2회,Gemini,시간이 없음,바이브코딩(도구 제작),8
U007,생활관운영팀,조교,거의 안 함,ChatGPT,결과 신뢰가 어려움,문서 요약·분석,3
U008,장학복지팀,교원,거의 안 함,NotebookLM,개인정보·보안 우려,민원 응대,0
U009,국제교류팀,행정직,거의 안 함,Gemini,어떤 업무에 쓸지 모름,AI로 학습,1
U010,기획평가팀,행정직,주 2-3회,NotebookLM,어떤 업무에 쓸지 모름,민원 응대,1
U011,교무팀,조교,매일,Gemini,시간이 없음,문서 요약·분석,8
U012,학사지원팀,행정직,주 2-3회,Gemini,어떤 업무에 쓸지 모름,문서 요약·분석,8
U013,재무팀,행정직,월 1-2회,Gemini,시간이 없음,민원 응대,5
U014,입학처,행정직,매일,ChatGPT,사용법을 모름,공문·기안문 작성,0
U015,대외협력팀,조교,주 2-3회,Gemini,시간이 없음,데이터 분석·시각화,3
U016,산학협력단,조교,매일,NotebookLM,어떤 업무에 쓸지 모름,문서 요약·분석,8
U017,생활관운영팀,행정직,월 1-2회,Gemini,시간이 없음,바이브코딩(도구 제작),8
U018,장학복지팀,조교,거의 안 함,NotebookLM,결과 신뢰가 어려움,문서 요약·분석,8
U019,국제교류팀,행정직,거의 안 함,NotebookLM,시간이 없음,민원 응대,1
U020,기획평가팀,행정직,거의 안 함,Gemini,개인정보·보안 우려,데이터 분석·시각화,5
U021,교무팀,조교,월 1-2회,ChatGPT,개인정보·보안 우려,문서 요약·분석,3
U022,학사지원팀,교원,월 1-2회,ChatGPT,사용법을 모름,민원 응대,2
U023,재무팀,조교,주 2-3회,ChatGPT,사용법을 모름,바이브코딩(도구 제작),8
U024,입학처,행정직,매일,ChatGPT,개인정보·보안 우려,데이터 분석·시각화,1
U025,대외협력팀,행정직,거의 안 함,없음,어떤 업무에 쓸지 모름,데이터 분석·시각화,8
U026,산학협력단,행정직,월 1-2회,NotebookLM,개인정보·보안 우려,공문·기안문 작성,8
U027,생활관운영팀,교원,거의 안 함,없음,사용법을 모름,민원 응대,5
U028,장학복지팀,행정직,매일,없음,어떤 업무에 쓸지 모름,공문·기안문 작성,5
U029,국제교류팀,행정직,거의 안 함,ChatGPT,사용법을 모름,데이터 분석·시각화,3
U030,기획평가팀,조교,주 2-3회,없음,어떤 업무에 쓸지 모름,민원 응대,3
