번호,접수일,채널,문의자유형,담당부서,제목,긴급도,처리상태,문의요약
1,2026-06-04,방문,조교,재무팀,등록금 분할납부 문의,중간,완료,"등록금 분할납부 문의 관련하여 절차와 기한, 필요 서류를 안내받고자 함."
2,2026-06-05,방문,졸업생,학사지원팀,일반휴학 시 등록금 환불 여부,중간,완료,"일반휴학 시 등록금 환불 여부 관련하여 절차와 기한, 필요 서류를 안내받고자 함."
3,2026-06-06,챗봇,학부모,생활관운영팀,기숙사 입사일·준비물 안내,낮음,접수,"기숙사 입사일·준비물 안내 관련하여 절차와 기한, 필요 서류를 안내받고자 함."
4,2026-06-07,챗봇,졸업생,산학협력단,연구비 집행 증빙서류 문의,중간,완료,"연구비 집행 증빙서류 문의 관련하여 절차와 기한, 필요 서류를 안내받고자 함."
5,2026-06-08,챗봇,조교,대외협력팀,평생교육원 강좌 등록 방법,낮음,접수,"평생교육원 강좌 등록 방법 관련하여 절차와 기한, 필요 서류를 안내받고자 함."
6,2026-06-09,전화,졸업생,학사지원팀,성적 이의신청 기한 문의,높음,처리중,"성적 이의신청 기한 문의 관련하여 절차와 기한, 필요 서류를 안내받고자 함."
7,2026-06-10,이메일,재학생,장학복지팀,성적우수 장학금 신청 자격,중간,완료,"성적우수 장학금 신청 자격 관련하여 절차와 기한, 필요 서류를 안내받고자 함."
8,2026-06-11,전화,신입생,학사지원팀,영문 졸업증명서 발급,낮음,처리중,"영문 졸업증명서 발급 관련하여 절차와 기한, 필요 서류를 안내받고자 함."
9,2026-06-12,방문,외부기관,교무팀,복수전공 신청 방법,낮음,완료,"복수전공 신청 방법 관련하여 절차와 기한, 필요 서류를 안내받고자 함."
10,2026-06-13,챗봇,외부기관,재무팀,국내출장 여비 정산 규정,중간,접수,"국내출장 여비 정산 규정 관련하여 절차와 기한, 필요 서류를 안내받고자 함."
11,2026-06-14,챗봇,재학생,국제교류팀,교환학생 프로그램 지원,중간,완료,"교환학생 프로그램 지원 관련하여 절차와 기한, 필요 서류를 안내받고자 함."
12,2026-06-15,전화,재학생,산학협력단,산학협력 협약 체결 문의,중간,접수,"산학협력 협약 체결 문의 관련하여 절차와 기한, 필요 서류를 안내받고자 함."
13,2026-06-16,이메일,학부모,교무팀,수강신청 시스템 오류(긴급),높음,완료,"수강신청 시스템 오류(긴급) 관련하여 절차와 기한, 필요 서류를 안내받고자 함."
14,2026-06-17,전화,조교,재무팀,등록금 납부확인서 발급,낮음,처리중,"등록금 납부확인서 발급 관련하여 절차와 기한, 필요 서류를 안내받고자 함."
15,2026-06-18,홈페이지,졸업생,학생상담센터,학사경고 기준·상담 요청,중간,완료,"학사경고 기준·상담 요청 관련하여 절차와 기한, 필요 서류를 안내받고자 함."
16,2026-06-19,이메일,신입생,교무팀,계절학기 개설 과목 문의,낮음,접수,"계절학기 개설 과목 문의 관련하여 절차와 기한, 필요 서류를 안내받고자 함."
17,2026-06-20,홈페이지,졸업생,국제교류팀,외국인 유학생 비자 서류,높음,접수,"외국인 유학생 비자 서류 관련하여 절차와 기한, 필요 서류를 안내받고자 함."
18,2026-06-21,전화,졸업생,학사지원팀,졸업요건(어학) 충족 여부,중간,완료,"졸업요건(어학) 충족 여부 관련하여 절차와 기한, 필요 서류를 안내받고자 함."
19,2026-06-22,홈페이지,졸업생,재무팀,법인카드 사용 한도 문의,낮음,완료,"법인카드 사용 한도 문의 관련하여 절차와 기한, 필요 서류를 안내받고자 함."
20,2026-06-23,전화,외부기관,교무팀,강의평가 미반영 이의,중간,처리중,"강의평가 미반영 이의 관련하여 절차와 기한, 필요 서류를 안내받고자 함."
21,2026-06-24,홈페이지,조교,생활관운영팀,기숙사 환불 규정,중간,접수,"기숙사 환불 규정 관련하여 절차와 기한, 필요 서류를 안내받고자 함."
22,2026-06-25,챗봇,교수,입학처,입학 전형료 환불,낮음,접수,"입학 전형료 환불 관련하여 절차와 기한, 필요 서류를 안내받고자 함."
23,2026-06-26,전화,신입생,장학복지팀,국가장학금 소득분위 문의,중간,접수,"국가장학금 소득분위 문의 관련하여 절차와 기한, 필요 서류를 안내받고자 함."
24,2026-06-27,방문,재학생,산학협력단,실험실 안전교육 일정,낮음,처리중,"실험실 안전교육 일정 관련하여 절차와 기한, 필요 서류를 안내받고자 함."
25,2026-06-28,방문,재학생,학사지원팀,재입학 절차 문의,중간,접수,"재입학 절차 문의 관련하여 절차와 기한, 필요 서류를 안내받고자 함."
26,2026-06-01,전화,학부모,교무팀,교직원 연차 사용 규정,낮음,접수,"교직원 연차 사용 규정 관련하여 절차와 기한, 필요 서류를 안내받고자 함."
27,2026-06-02,전화,졸업생,학사지원팀,학생증 재발급,낮음,처리중,"학생증 재발급 관련하여 절차와 기한, 필요 서류를 안내받고자 함."
28,2026-06-03,방문,졸업생,재무팀,기부금 영수증 발급,낮음,접수,"기부금 영수증 발급 관련하여 절차와 기한, 필요 서류를 안내받고자 함."
29,2026-06-04,챗봇,외부기관,교무팀,취업계 인정 기준,중간,접수,"취업계 인정 기준 관련하여 절차와 기한, 필요 서류를 안내받고자 함."
30,2026-06-05,홈페이지,교수,교무팀,학칙 개정 사항 확인,낮음,접수,"학칙 개정 사항 확인 관련하여 절차와 기한, 필요 서류를 안내받고자 함."
